2022-10-08 20:52:17 - __main__     - Tweet 38 of 78 posted: Sometimes, there's no better thing than a lie in.
2022-10-08 20:53:58 - __main__     - Tweet 32 of 78 posted at 2022-10-08 19:53:58.913651: I'm gay for Karen Gillan. I'm pretty sure Mother knows.
2022-10-08 20:54:52 - __main__     - Tweet 45 of 78 posted: Chloë Grace Moretz voiced me well.
2022-10-08 21:02:07 - __main__     - Tweet 61 of 78 posted: I'm still getting over Debbie's choice to use pastels. Like, seriously?
2022-10-08 21:23:54 - __main__     - Tweet 17 of 77 posted: Cats are homicidal furballs.
2022-10-08 21:23:55 - __main__     - Tweet 66 of 77 posted: Spotted a black cat out of the window. It's probably thinking about purrgatory.
2022-10-08 21:23:56 - __main__     - Tweet 59 of 77 posted: I overheard someone saying that some company's headquarters was their version of hell. I can only assume they work in tech support, so it's fortunate I don't bother with printers. Sounds like more trouble than they're worth.
2022-10-08 21:23:57 - __main__     - Tweet 71 of 77 posted: A litle but of sudden rain is nice.
2022-10-08 21:23:59 - __main__     - Tweet 22 of 77 posted: Damn, Lestrange. You could've picked a man with a nose at least.
2022-10-08 21:24:00 - __main__     - Tweet 45 of 77 posted: It's frustrating when you're in a hurry and things don't go to plan.
2022-10-08 21:24:01 - __main__     - Tweet 26 of 77 posted: I heard that someone described Camp Chippewa as the Windows Vista of camps. I tried that once when learning how to use a computer. They're not wrong.
2022-10-08 21:24:02 - __main__     - Tweet 58 of 77 posted: Being normal is boring.
2022-10-08 21:24:03 - __main__     - Tweet 2 of 3 posted It's Halloween. Finally.
2022-10-08 21:24:03 - __main__     - Tweet 3 of 77 posted: I'll be said when October is gone.
2022-10-08 21:25:08 - __main__     - Tweet 26 of 77 posted: I heard that someone described Camp Chippewa as the Windows Vista of camps. I tried that once when learning how to use a computer. They're not wrong.
2022-10-08 21:25:09 - __main__     - Tweet CT_4 of CT_3 posted: October. The best month of all.
2022-10-08 21:25:09 - __main__     - Tweet 4 of 77 posted: I can't wait for October.
2022-10-08 21:26:14 - __main__     - Tweet 75 of 77 posted: Why did they choose November 23rd? I'd've released it on October 31st. Halloween's a much better date.
2022-10-08 21:26:15 - __main__     - Tweet 24 of 77 posted: I heard someone saying that Thing used to be Luke Skywalker's hand. I'm not so sure about that yet.
2022-10-08 21:26:16 - __main__     - Tweet 50 of 77 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-08 21:26:17 - __main__     - Tweet 73 of 77 posted: I tried to upgrade my computer once but it hung at the wrong moment. The end result was a catastophe that required reinstalling the operating system and half a day of recovery. My plans for sleeping were fucked.
2022-10-08 21:26:18 - __main__     - Tweet 22 of 77 posted: Damn, Lestrange. You could've picked a man with a nose at least.
2022-10-08 21:26:18 - __main__     - Tweet 73 of 77 posted: I tried to upgrade my computer once but it hung at the wrong moment. The end result was a catastophe that required reinstalling the operating system and half a day of recovery. My plans for sleeping were fucked.
2022-10-08 21:26:19 - __main__     - Tweet 58 of 77 posted: Being normal is boring.
2022-10-08 21:26:20 - __main__     - Tweet 50 of 77 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-08 21:26:21 - __main__     - Tweet 30 of 77 posted: Who's that off-brand Uncle Fester playing at in the East?
2022-10-08 21:26:22 - __main__     - Tweet 77 of 77 posted: A wig from a bargain store and a pinafore is not an ideal cosplay, though kudos for the effort at least.
2022-10-08 21:26:23 - __main__     - Tweet 9 of 77 posted: Ah, what I would not give for Karen Gillan to look me in the eye and say 'Cara mia'.
2022-10-08 21:26:23 - __main__     - Tweet 13 of 77 posted: A spider is a girl's best friend.
2022-10-08 21:26:24 - __main__     - Tweet 16 of 77 posted: Sailor Saturn? I like her.
2022-10-08 21:26:25 - __main__     - Tweet 19 of 77 posted: I'll stop wearing black when they make a darker color.
2022-10-08 21:26:26 - __main__     - Tweet 34 of 77 posted: I'm gay for Karen Gillan. I'm pretty sure Mother knows.
2022-10-08 21:26:28 - __main__     - Tweet 18 of 77 posted: I hate everything.
2022-10-08 21:26:30 - __main__     - Tweet 47 of 77 posted: I can hear that counterfeit Uncle Fester shitting bricks after what I've been hearing.
2022-10-08 21:26:31 - __main__     - Tweet 8 of 77 posted: I can't tell of there's a thunderstorm coming or Pugsley's had beans again.
2022-10-08 21:26:33 - __main__     - Tweet 53 of 77 posted: "Men is too headache." I couldn't agree more.
2022-10-08 21:26:34 - __main__     - Tweet 12 of 77 posted: I am not perky.
2022-10-08 21:26:45 - __main__     - Tweet 57 of 77 posted: I just saw Emma Stone's portrayal of Cruella and all I can say is that I want to be in her arms.
2022-10-08 21:26:46 - __main__     - Tweet 31 of 77 posted: That feeling you get when you take your bra off after a long day. I can agree with that.
2022-10-08 21:26:48 - __main__     - Tweet 78 of 77 posted: I've had the same song stuck in my head for the last two days...
2022-10-08 21:28:05 - __main__     - Tweet 8 of 78 posted: I can't tell of there's a thunderstorm coming or Pugsley's had beans again.
2022-10-08 21:28:09 - __main__     - Tweet 42 of 78 posted: I can't tell whether it's going to rain or not some days.
2022-10-08 21:28:10 - __main__     - Tweet 19 of 78 posted: I'll stop wearing black when they make a darker color.
2022-10-08 21:28:14 - __main__     - Tweet 65 of 78 posted: I want a lie in.
2022-10-08 21:28:15 - __main__     - Tweet 41 of 78 posted: I want nothing more than to just chill on some days. Today seems to be one of them.
2022-10-08 21:28:16 - __main__     - Tweet 54 of 78 posted: Got a 1 in 7 of posting this on the right day, but thank goth it's Wednesday.
2022-10-08 21:28:20 - __main__     - Tweet 70 of 78 posted: When the weather app says it's going to rain and then it doesn't. Ugh...
2022-10-08 21:28:21 - __main__     - Tweet 74 of 78 posted: I think I'm the most prepared in the Addams clan.
2022-10-08 21:28:25 - __main__     - Tweet 38 of 78 posted: I wonder whose idea was it to call bras 'over the shoulder boulder holders'.
2022-10-08 21:28:26 - __main__     - Tweet 23 of 78 posted: Still waiting on that full moon.
2022-10-08 21:28:27 - __main__     - Tweet 50 of 78 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-10-08 21:28:28 - __main__     - Tweet 11 of 78 posted: Remind me to ask Cousin Itt if that's a relative of his next to Han Solo.
2022-10-08 21:28:29 - __main__     - Tweet 76 of 78 posted: I think Jenna Ortega will do well as Wednesday.
2022-10-08 21:28:30 - __main__     - Tweet 55 of 78 posted: I sometimes wish I was in the Townsend Agency. Someone should make fanfiction of that, come to think of it. The Addams Family x 2019 Charlie's Angels would be an interesting combination
2022-10-08 21:28:31 - __main__     - Tweet 29 of 78 posted: Okay, I admit it, I am officially gay for Ella Balinska. I liked that one part of the quarry scene and I didn't blame Sabina for covering her eyes. None of them seem the macabre type.
2022-10-08 21:28:32 - __main__     - Tweet 31 of 78 posted: That feeling you get when you take your bra off after a long day. I can agree with that.
2022-10-08 21:28:33 - __main__     - Tweet 12 of 78 posted: I am not perky.
2022-10-08 21:28:34 - __main__     - Tweet 54 of 78 posted: Got a 1 in 7 of posting this on the right day, but thank goth it's Wednesday.
2022-10-08 21:28:35 - __main__     - Tweet 33 of 78 posted: Sometimes, 8am feels like it's too early.
2022-10-08 21:28:35 - __main__     - Tweet 5 of 78 posted: Where's a thunderstorm when you need one?
2022-10-08 21:28:37 - __main__     - Tweet 60 of 78 posted: I'm still getting over Debbie's choice to use pastels. Like, seriously?
2022-10-08 21:28:46 - __main__     - Tweet 11 of 78 posted: Remind me to ask Cousin Itt if that's a relative of his next to Han Solo.
