2022-11-06 00:00:02 - __main__     - Tweet 63 of 113 posted: Chloë Grace Moretz voiced me well.
2022-11-06 01:00:02 - __main__     - Tweet 13 of 113 posted: Pugsley tried to guess what I dreamt about the other night. He guessed it involved Emma Watson and some salteñas while Heavy Fuel played quietly in the background.
2022-11-06 02:00:02 - __main__     - Tweet 96 of 113 posted: What is this 'uwu' energy people keep mentioning? I'm aware kittens possess that energy, but still...
2022-11-06 11:00:02 - __main__     - Tweet 91 of 113 posted: I think I'm the most prepared in the Addams clan. Pugsley's guess of 872 million of them was quite the overstatement.
2022-11-06 12:00:02 - __main__     - Tweet 79 of 113 posted: A friend of mine told me I should cosplay as Sailor Saturn. I'll give it some thought. She's my favourite sailor scout, after all.
2022-11-06 13:00:02 - __main__     - Tweet 100 of 113 posted: It was foggy this morning, and I liked it. Now it's sunny... damn it.
2022-11-06 14:00:02 - __main__     - Tweet 6 of 113 posted: Why do I have Hard Rock Hallelujah stuck in my head all of a sudden?
2022-11-06 15:00:02 - __main__     - Tweet 67 of 113 posted: Linux intrigues me for some reason, though I am not quite sure why. Could you imagine a sysadmin in the Addams Family?
2022-11-06 16:00:02 - __main__     - Tweet 106 of 113 posted: They had men doing construction work out the window once. At least their radio choices were decent.
2022-11-06 17:00:02 - __main__     - Tweet 26 of 113 posted: Ah, what I would not give for Alexandra Daddario to look me in the eye and say 'Cara mia'.
2022-11-06 18:00:02 - __main__     - Tweet 17 of 113 posted: There's nothing better than a peaceful night, a gentle breeze and a temperature of 16°C
2022-11-06 19:00:02 - __main__     - Tweet 78 of 113 posted: I've got the music from Sailor Moon stuck in my head. Not gonna lie, though, I like it.
2022-11-06 20:00:02 - __main__     - Tweet 102 of 113 posted: It's colder than I expected it to be today. A reminder of the cold embrace of death.
2022-11-06 21:00:02 - __main__     - Tweet 10 of 113 posted: Mother's been trying to guess who has been on my mind today. Úrsula Corberó was her latest guess.
2022-11-06 22:00:02 - __main__     - Tweet 87 of 113 posted: When the weather app says it's going to rain and then it doesn't. Ugh...
